//GUIDE FOR TRANSLATORS
// Updated:11th of May, 2015

// 1) text with yellow background is comments and IS NOT to be translated
// 2) text with red background is ID's and IS NOT to be translated
// 3) codes inside the text MUST BE LEFT AS IS. 
// E.g. “... a second time. \n\nThe second heat-treatment...”: The '\n\n' and space around must be left as is
// 4) If there is a max character limit it will be stated in comments sections



//MATERIALS

Garbage	:		Ubrugeligt materiale
MaterialDescription_P_Type_Semiconductor	:		Det er en halvlederforbindelse bestående af bismuth og tellur. \n\nBismuthtellurids termoelektriske egenskaber forekommer ved temperaturer mellem -100 og 200 °C. \n\nP-type betyder at det bruges til at lede elektricitet med positiv ladning.

N_Type_Semiconductor	:		Bismuthtellurid (N-type)
MaterialDescription_N_Type_Semiconductor	:		Det er en halvlederforbindelse bestående af bismuth og tellur. \n\nBismuthtellurids termoelektriske egenskaber forekommer ved temperaturer mellem -100 og 200 °C. \n\nN-type betyder at det bruges til at lede elektricitet med negativ ladning.

Lithographed_P_Type_Layer	:		Litograferet P-type-lag
MaterialDescription_Lithographed_P_Type_Layer	:		Dette substrat har fået et mønster gennem en fotolitograferingsproces.

Polymeric_Membrane	:		Polymer membran
MaterialDescription_Polymeric_Membrane	:		En syntetisk fremstillet membran der har til formål at adskille. \n\nDen består af meget små huller som tillader vand at trænge frit igennem, mens opløste salte og organiske molekyler ikke kan komme igennem. \n\nI kunstig fotosyntese blokerer den iltmolekylerne med lader brintionerne trænge igennem, derved forhindres potentielt eksplosive reaktioner.

Recycled_Pulp	:		Kemisk opløst fibermasse
MaterialDescription_Recycled_pulp	:		Pulp består af genbrugspapir der er blevet opløst ved organosolv-metoden der anvender organiske opløsningsmidler.

Lithographed_N_Type_Layer	:		Litograferet N-type-lag
MaterialDescription_Lithographed_N_Type_Layer	:		Dette substrat har nu fået et mønster gennem fotolitograferingsprocessen.

Etched_P_Type_Layer	:		Ætset P-type-lag
MaterialDescription_Etched_P_Type_Layer	:		Ætsning fjerner det overskydende lag af dette P-type-lag som leder elektricitet med en strøm af positive ladninger.

Salt_Water	:		Saltvand
MaterialDescription_Salt_Water	:		Vand som indeholder betydelige mængder salt, findes i verdenshavene. Hvis man får det i øjnene, bliver de røde.\n\nAnbefales ikke til at drikke.

Salt	:		Salt
MaterialDescription_Salt	:		Almindeligt salt er et hvidt krystallinsk stof ved stuetemperatur, og det er grunden til saltindholdet i verdenshavene. Det er også en vigtig del i fremstillingen af chips.

Sand	:		Sand
MaterialDescription_Sand	:	Sand, der hovedsageligt består af siliciumoxid, er et kornet materiale der består af små partikler af sten og mineral. Det har et smeltepunkt på over 1600 °C og bruges meget til fremstilling af glas og elektronik.

Silicon_Nitride	:		Siliciumnitrid
MaterialDescription_Silicon_Nitride	:		Et kunstigt uorganisk materiale bestående af silicium og nitrogen og som er meget modstandsdygtigt overfor temperatur (smeltepunktet er på 2388 °C).\n\nDet nedsætter reflektering af lys og bruges derfor som anti-reflekterende overfladebehandling. Det er også en særdeles god elektrisk isolering.

Silicon	:		Silicium
MaterialDescription_Silicon	:		Silicium (Si) i mikroelektronisk kvalitet kan udvindes fra fast silica, og det er det vigtigste halvledermateriale.  Den mikroelektroniske industri behøver silicium der er yderst rent til at fremstille integrerede kredsløb.

Silver	:		Sølv
MaterialDescription_Silver	:		Er ædelmetallernes Buzz Aldrin. Sølv (Ag) har den højeste termiske ledeevne, og det er det mest reflekterende metal på Jorden.\n\nDet er en excellent katodekatalysator.

Slag	:		Slagger
MaterialDescription_Slag	:		Stenagtigt affaldsmateriale som indeholder oxider af tilbageblevne uønsket materiale. Det adskilles fra metaller under smeltningen eller raffineringen af malmen.\n\nDet bruges ofte til vejbygning.

Soda_Ash	:		Soda
MaterialDescription_Soda_Ash	:		Natriumkarbonat (også kaldet vaskesoda, soda og sodakrystaller) er et natriumsalt af kulsyre (opløseligt i vand).\n\nDet bruges nogle gange som et ”flusmiddel” for at sænke smeltepunktet af andre materialer.

Soil_Clay	:		Jordmineraler
MaterialDescription_Soil_Clay	:		Jordmineraler er finkornet jord der kombinere et eller flere lermineraler med spor af metaloxider og uorganisk materiale.

Etched_N_Type_Layer	:		Ætset N-type-lag
MaterialDescription_Etched_N_Type_Layer	:		Ætsning fjerner det overskydende lag nær dette N-type-lag som leder elektricitet med en strøm af negative ladninger.

Curse	:		Forbandelse
MaterialDescription_Curse	:		Vær forsigtig med hvad du ønsker.

Rubber_Chicken_W_A_Pulley_In_The_Middle	:		Gummikylling med en talje i midten
MaterialDescription_rubber_chicken_w_a_pulley_in_the_middle	:		En gengivelse af et plukket fjerkræ lavet af gummi. Det er et populært komikerrekvisit, der vist nok skulle stamme fra den feudale tid hvor det blev brugt af hofnarrene.\n\nDen her har en talje i midten.

Missing	:		_Missingno.
MaterialDescription_Missing	:		MISSING_MaterialDescription_Missingno.

Basic_Artificial_Leaf	:		Grundlæggende kunstigt blad
MaterialDescription_Basic_Artificial_Leaf	:	En membran adskiller de to sider af det kunstige blad, men der er endnu ikke nogen katalysator til at igangsætte den ønskede proces med at splitte vandmolekyler.

Coated_Artificial_Leaf	:		Kunstigt blad dækket m. katalysatorer
MaterialDescription_Coated_Artificial_Leaf	:		Foto-anoden og foto-katoden i denne opsætning er begge dækket med katalysatorer som splitter vandmolekyler (dvs. H2O) for at danne ilt- og brintmolekyler.

Cobalt_Oxide	:		Koboltoxid
MaterialDescription_Cobalt_Oxide	:		Koboltoxid bruges ofte i den keramiske industri til at frembringe blå glasur.\n\nDet et rigeligt forekommende metaloxid som er stabilt og meget effektivt som katalysator i kunstig fotosyntese.

Kaolin	:		Kaolinit
MaterialDescription_Kaolin	:		Kaolinit er et lermineral der også kaldes kinaler. Det bruges meget i papirfremstilling til at give overstrøget papir en glat og glinsende overflade.

Container_W_Membrane	:		Beholder med membran
MaterialDescription_Container_W_Membrane	:		Beholder med en membran til at adskille noget.

Titanium_Oxide	:		Titanoxid
MaterialDescription_Titanium_Oxide	:		Titanoxid er en forbindelse af titan og ilt. De bruges ofte som et uv-blokerende pigment i solcreme og som anti-reflekterende belægning i solceller. Dets lysabsorberende egenskaber gør det til en fortrinlig katalysator i kemiske opsætninger hvor lys bruges som energikilde.

Container_W_Water	:		Beholder med vand
MaterialDescription_Container_w_water	:		Beholder med vand


Washed_Fibremass	:		Vasket fibermasse
MaterialDescription_Washed_Fibremass	:		Fibermasse der er vasket og renset for uønskede partikler.

Water	:		Ferskvand
MaterialDescription_Water	:		Vand (H2O) er en gennemsigtig væske som udgør alle verdens floder, søer, havene og regn, og det er den største bestanddel af væske i alle levende væsner.


Weak_Glass	:		Svagt glas
MaterialDescription_Weak_Glass	:		Skørt glas, dvs. at det går let i stykker.

Wet_ClayBrick_red	:		Musten af vådt rødt ler
MaterialDescription_Wet_ClayBrick_Red	:		Denne våde mursten er lavet af vådt formbart ler.

Wood	:		Træ
MaterialDescription_Wood	:		Træ er et hårdt, fiberstruktureret væv der findes i træers stammer og rødder.\n\nDet er blevet brugt i tusindvis af år som brændsel og byggemateriale.

WoodChips	:		Træflis
MaterialDescription_WoodChips	:		Træflis kan bruges som biomassebrændsel og som råmateriale til fremstilling af papirmasse.

Gas_Container	:		Gasbeholder
MaterialDescription_Gas_Container	:		Et trykkammer til opbevaring af gasarter.

Pulp_Mechanically	:		Mekanisk mast fibermasse
MaterialDescription_Pulp_Mechanically	:		Mekanisk mast fibermasse indeholder ikke nogen kemisk behandling, men det giver papir med mindre styrke og bruger meget energi.


Dried_Fibremass	:			Tørret fibermasse
MaterialDescription_Dried_Fibremass	:		Koncentreret fibermasse der er tørret.

Dilluted_Fibremass	:			Fortyndet fibermasse
MaterialDescription_Dilluted_Fibremass	:		Fibermasse der er fortyndet 100 gange i forhold til dets oprindelige vægt.

Steam	:			Damp
MaterialDescription_Steam	:		Damp er vand i luftform. Det opstår når vand når op på 100 °C.


Wet_ClayBrick	:			Mursten af vådt ler
MaterialDescription_Wet_ClayBrick	:		Våde lermursten er lavet af vådt formbart ler.

Wet_Clay_Brick_red:				Musten af vådt rødt ler
MaterialDescription_Wet_Clay_Brick_red:		Våde mursten af rødt ler er lavet af vådt formbart ler.


Dry_Clay_Red:		Tørt rødt ler
MaterialDescription_Dry_Clay_Red:		Tørt rødt ler får sin farve af jernoxid.

led:	LED-array
MaterialDescription_led:		En lysdiode er en pn-overgang af halvledere som udsender lys når der sendes en strøm igennem den.\n\nForskellige halvledere skal bruges for at frembringe de 3 grundfarver: rød, grøn og blå (RGB). Ved at blande disse farver skabes alle farverne på displayet.


glass_substrate:	Glassubstrat
MaterialDescription_glass_substrate:	Det glas der bruges i glassubstrater, har forskellige egenskaber afhængigt af anvendelsen. Fx et substrat til displays indeholder boroxid (B2O3) som gør glasset stabilt ved høje temperaturer, mens det til solceller indeholder små mængder jern og dermed har en lav absorption af sollys.


indium_tin_oxide:	 Indium-tinoxid
MaterialDescription_indium_tin_oxide:	Kaldes også ITO eller indiumoxid dopet med tin.\n\nDet er gennemsigtigt og stærkt ledende, hvilket gør det brugbart til fremstillingen af displays.


Paper_Membrane:	Papirmembran
MaterialDescription_Paper_Membrane:	Separatoren er en papirmembran der er nedsænket i en elektrolytopløsning. Det gør det muligt for ioner at bevæge sig frit mellem anode og katode samtidigt med at selve elektroderne holdes adskilt.


liquid_crystals:	 Flydende krystaller
MaterialDescription_liquid_crystals:	Organiske molekyler i et mellemstadium mellem flydende og fast form, og som ændrer orientering når man sætter en spænding på. Denne evne til orientere sig i en given retning er grunden til at de ofte bruges til at manipulere lys med.


polyvinyl_alcohol:	Polyvinylalkohol
MaterialDescription_polyvinyl_alcohol:	Polyvinylalkohol er et polymermateriale med meget stort trækstyrke og modstandsdygtigt over for ridser. Det bruges til biomedicinsk og farmaceutisk anvendelse samt til polariserende belægninger i lysdiodedisplays.


Koh_Liquid:	Kaliumhydroxid
MaterialDescription_Koh_Liquid:	Kaliumhydroxid er en uorganisk forbindelse med formlen KOH, normalt kaldet kaustisk kali. Det er i stand til at ætse silicium.\n\nDet bruges desuden i industrien som elektrolyt i vandige opløsninger. En elektrolyt er et middel der kan få elektriske ladninger til at strømme mellem to elektroder.


indium_zinc_oxide:	Indium-gallium-zinkoxid
MaterialDescription_indium_zinc_oxide:	Indium-gallium-zinkoxid er en gennemsigtig halvlederlegering som kan bruges i en tynd-film-transistor i stedet for silicium. Det giver fuldt gennemsigtighed og bruges ofte til displays.


polyfluorene:	 Polyfluoren
MaterialDescription_polyfluorene:	Polymerer der har den fordel at de er fleksible og billige at fremstille.\n\nPolyfluorener er også gennemsigtige og halvledere. Der findes forskellige polyflourener som udsender forskellige farver lys.


thin_film_transistor:	Tynd-film-transistor
MaterialDescription_thin_film_transistor:	En tynd-film-transistor (TFT) er en slags felt-effekt-transistor som er fremstillet ved at deponere tynde lag på et aktivt lag af en halvleder (som regel silicium) oven på et understøttende substrat.\n\nTFT’er fungerer som elektriske kontakter som styrer hver pixel i displayet.


ito_deposited_glass:	ITO-deponeret glas
MaterialDescription_ito_deposited_glass:	Glassubstrat hvorpå der er lagt et tyndt lag ITO.


tft_layer:		TFT-lag
MaterialDescription_tft_layer:	Glassubstrat hvorpå der er lagt et tyndt lag TFT (som regel silicium).


polarised_panel:		Polariseret panel
MaterialDescription_polarised_panel:	Den polariserende belægning på dette panel indretter lysbølgerne i en bestemt polariseret retning.


tft_electrode_panel:		TFT-elektrodepanel
MaterialDescription_tft_electrode_panel:	Substrat med en belægning af indium-tinoxid som fungerer som elektrode.


Tmah_Liquid:		TMAH
MaterialDescription_Tmah_Liquid:	Tetramethyl­ammonium­hydroxid er en ammonium­salt.\n\nDet er et kemisk stof som kan ætse silicium.
organic_tft_panel:	Organisk TFT-lag
MaterialDescription_organic_tft_panel:	Samlet TFT-lag og organiske emitterlag.	
charged_tft_panel:	Panel m. elektroder
MaterialDescription_charged_tft_panel:	TFT-panel med elektroder af ledende metal som laver et elektronisk kredsløb.


tft_igzo_panel:		TFT IGZO panel
MaterialDescription_tft_igzo_panel:	Glassubstrat hvorpå der er lagt et tyndt lag IGZO.


tft_color_panel:		TFT panel
MaterialDescription_tft_color_panel:	Et panel med tynd-film-transistorer med flydende krystal ovenpå.


Pulp_Chemically	:		Kemisk opløst fibermasse
MaterialDescription_Pulp_Chemically	:		Kemisk opløst fibermasse er mere energibesparende end mekanisk mast fibermasse, og det giver papir med bedre styrke og glans.


Ethanol	:		Ethanol
MaterialDescription_Ethanol	:		Ethanol kan bruges som et organisk opløsningsmiddel, og det findes normalt i alkoholiske drikke. Ethanol forekommer naturligt som et biprodukt af gærs stofskifteproces.


White_Liquor	:		Hvid lud
MaterialDescription_White_Liquor	:		Hvid lud er en stærkt alkalisk opløsning der hovedsagelig består af natriumhydroxid oh natriumsulfid.\n\nDet bruges i det første trin af Kraft-processen hvori lignin og hemicellulose skilles fra cellulosefibrene ved fremstillingen af papirmasse.


shaft	:		Skaft
MaterialDescription_shaft:	Også kaldet en trækstang og som regel lavet af kvarts.


container	: Beholder
MaterialDescription_container	:	En beholder som kan modstå utroligt høje temperaturer, og som også kan opbevare flydende stoffer.


melted_silicon	: Smeltet silicium
MaterialDescription_melted_silicon	:		Silicium i flydende tilstand. Siliciums smeltepunkt er 1414 °C.


shaft_w_silicon_seed_crystal	: Skaft m. silicium-podekrystal
MaterialDescription_shaft_w_silicon_seed_crystal	:		Et skaft sammen med et posekrystal til brug ved dyrkning af silicium som et monokrystal med Czochralski-processen.


silicon_seed_crystal	:	Silicium podekrystal
MaterialDescription_silicon_seed_crystal	:		Et podekrystal er et lille, yderst perfekt krystal af silicium.


melted_silicon_w_seed_crystal	:	Flydende silicium m. podekrystal
MaterialDescription_melted_silicon_w_seed_crystal	:		Begyndelsen af krystalvækst som til sidst resulterer i en silicium-ingot.


silicon_ingot	: Silicium-ingot
MaterialDescription_silicon_ingot	:		Kaldes også en ”boule” af silicium, hvilket er begyndelsesmaterialet til de fleste integrerede kredsløb der bruges i dag.


silicon_wafers	:	Siliciumwafers
MaterialDescription_silicon_wafers	:		Siliciumwafers grundlaget for de fleste elektroniske anordninger i dag. De fremstilles ved at skære skiver af en silicium-ingot.


silicon_wafers_in_vacuum	: Siliciumwafers i vakuum
MaterialDescription_silicon_wafers_in_vacuum	:		Siliciumwafers skal være i et vakuum for at kunne gennemgå ion-implanteringsprocessen.


p_doped_silicon_wafers	: P-dopede siliciumwafers
MaterialDescription_p_doped_silicon_wafers	:		Siliciumwafers der er blevet ionimplanteret eller dopet med bor.


p_doped_silicon_wafer 	:	P-dopet siliciumwafer
MaterialDescription_p_doped_silicon_wafer	:		Enkelt siliciumwafer som er blevet dopet med bor.


p_n_doped_silicon_wafer	:	PN-dopet siliciumwafer
MaterialDescription_p_n_doped_silicon_wafer	:		Enkelt siliciumwafer som er blevet dopet med både bor og fosfor.

Nimoz	:	NiMoZn legering
MaterialDescription_Nimoz	:		NiMoZn, også kaldet nikkel-molybdæn-zink, er en metallegering.\n\nDen har vist sig at være en meget effektiv katalysator for udviklingen af brint.

Sunlight	:	Sollys
MaterialDescription_sunlight	:		Lys der kommer fra en stor gasagtig kugle i rummet. Det er nødvendigt for alt liv på Jorden.\n\nBruges ofte metaforisk i popsange i den alternative version, solskin.

Iridium		:	Iridium
MaterialDescription_Iridium		: Iridium (Ir) er en af de sjældneste grundstoffer i jordskorpen. Det er et hårdt metal i familie med platin.\n\nDet er det mest korrosionsbestandige metal der findes, og det bruges nogle gange som katalysator i kemiske reaktioner.

Photoanode	:	Fotoanode
MaterialDescription_Photoanode		: Elektrode lavet af et halvledermateriale. Når den belyses fremkalder det at vand splittes.

Photocathode	:	Fotokatode
MaterialDescription_Photocathode		: En elektrode dækket med et ædelmetal eller specielle legeringer som katalyserer produktionen af brint.

Photoanode_w_catalysts : Fotoanode m. katalysatorer
MaterialDescription_Photoanode_w_catalysts	:	Disse fotoanoder absorberer sollys, og de har en katalysator som splitter vand i ilt- og brintmolekyler.

Silicon_Substrate : Siliciumsubstrat
MaterialDescription_Silicon_Substrate	: Et substrat er enhver form for overflade hvorpå man kan bygge andre ting.\n\nDenne er lavet af silicium, som er et materiale der bruges til elektroniske chips, samt et lysabsorberende materiale til solceller.\n\nDet er også et substrat som er let bøjeligt når det er meget tyndt.

Hydrofluoric_Acid : Flussyre
MaterialDescription_Hydrofluoric_Acid	: Flussyre er en opløsning af hydrogenflourid (HF) i vand. Den er stærkt ætsende og i stand til at opløse mange materialer, glas inkluderet.

Tft_W_Liquid_Crystals : TFT m. flydende krystaller
MaterialDescription_Tft_W_Liquid_Crystals	: Et lag af flydende krystal på TFT-panelet som bruges til at manipulere lys når der sættes en spænding på.

Lithographed_Silicon_Substrate : Litograferet silicium-substrat 
MaterialDescription_lithographed_silicon_substrate	: Et silicium-substrat som har gennemgået en proces med fotolitografering for at få et mønster med mikrofluidik kanaler.

Tmah :TMAH
MaterialDescription_Tmah	: Tetramethyl­ammonium­hydroxid er en ammonium­salt.\n\nDet er et kemisk stof som kan ætse silicium.

Koh : Kaliumhydroxid
MaterialDescription_koh	:Kaliumhydroxid er en uorganisk forbindelse med formlen KOH, normalt kaldet kaustisk kali. Det er i stand til at ætse silicium.\n\nDet bruges desuden i industrien som elektrolyt i vandige opløsninger. En elektrolyt er et middel der kan få elektriske ladninger til at strømme mellem to elektroder.

Anode_Fabrication : Anode-fremstilling
MaterialDescription_Anode_Fabrication	: Anoden er den elektrode hvor elektronerne kommer ud af cellen.

Etched_Silicon_Substrate : Ætset silicium-substrat
MaterialDescription_Etched_Silicon_Substrate	: Ætsning har fjernet de overskydende lag på dette siliciumsubstrat for at frembringe mønstret der blev lavet med litografi.

Cathode_Fabrication : Katode-fremstilling
MaterialDescription_Cathode_Fabrication	: Katoden er den elektrode hvor elektronerne kommer ind i cellen.

Silicon_Substrate_W_Electrodes : Silicium-substrat m. elektroder
MaterialDescription_Silicon_Substrate_W_Electrodes	: Der er lavet metalkontakter på steder hvor elektriske signaler skal transmitteres eller modtages.

Micropump : Mikropumpe
MaterialDescription_Micropump	: En mikroskopisk pumpe i måleområdet mikrometer. Den bruges til at bevæge væsker i mikrofluidik kanalerne.

Sensor : Sensor
MaterialDescription_Sensor	: Sensorer er elektroniske anordninger som opfanger ændringer af bestemte fysiske, kemiske eller biologiske kvantiteter.\n\nSensorer kan endog bruges til at opdage sygdomme med.

Unsealed_Lab_On_A_Chip_Silicon : Placering af vigtige LoC-komponenter
MaterialDescription_Unsealed_Lab_On_A_Chip_Silicon	: Pumpen overfører væsker inde i LoC’s kanaler, mens sensoren opdager en konkret sygdom.

Silicon_Mold : Siliciumform
MaterialDescription_Silicon_Mold	: En form der bruges til at overføre mønstre på et letbearbejdeligt substrat ved at presse det og opvarme det.

Polymer_Substrate : Polymer-substrat
MaterialDescription_Polymer_substrate	: Et substrat lavet af poly(metylmetacrylat), eller PMMA i kort form. Polymerer er materialer der er sammensat af lange kæder som er fremkommet ved en ”polymerisering”. De kan enten være ordnede amorft eller i delvist krystallinsk form.

Embossed_Polymer : Præget polymer
MaterialDescription_Embossed_Polymer	: Et polymersubstrat der er blevet graveret med mikrofluidik kanaler efter en proces med varm prægning.

Polymer_Substrate_W_Electrodes : Polymersubstrat m. elektroder
MaterialDescription_Polymer_substrate_w_electrodes	: Der er lavet metalkontakter på steder hvor elektriske signaler skal transmitteres eller modtages.

Unsealed_Polymer_Lab_On_A_Chip : Placering af vigtige LoC-komponenter
MaterialDescription_Unsealed_polymer_lab_on_a_chip	: Pumpen overfører væsker inde i LoC’s kanaler, mens sensoren opdager en konkret sygdom.


Paper_Substrate : Papirsubstrat
MaterialDescription_Paper_substrate	: Papir er et fast materiale lavet af cellulosefibre der bla. findes i træ.\n\nDet kan enten bruges som et substrat, hvorpå noget kan bygges, eller som en separatormembran.

Photoresist_Liquid : Fotoskyende væske
MaterialDescription_Photoresist_liquid	: En polymervæske som er lysfølsom, og som bruges til at danne mønstrede belægninger på en overflade.

Photoresist_Soaked_Paper : Imprægnerede papirsubstrater
